"icon-verkehrsstoerung src","linkintern","linkintern href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse","von 


 bis ,  von 09:00 bis 15:00 Uhr","18. Januar 2021","22. Januar 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-5","von 


 bis","29. Juni 2020","12. Dezember 2022","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-20","von 


 bis ,  von 9:00 bis 15:00 Uhr","25. August 2021","27. August 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-21","von 


 bis ,  von 07:00 bis 15:00 Uhr","16. Februar 2021","26. Februar 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-22","von 


 bis ,  von 22:00 bis 03:00 Uhr","11. September 2021","13. September 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-23","von 


 bis","14. Mai 2021","16. Juli 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-24","von 


 bis","28. Juni 2021","17. August 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-27","von 


 bis","27. September 2021","9. Oktober 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-deutz-28","von 


 bis","13. September 2021","27. September 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße (Mülheim)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strasse-muelheim-12","von 


 bis","15. März 2021","30. April 2021","Mülheim"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutz-Mülheimer Straße/Messekreisel (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutz-muelheimer-strassemessekreisel-deutz","von 


 bis","29. Juni 2021","8. September 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/1.gif","Deutzer Brücke (Innenstadt)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-bruecke-6","1. Januar 2012 bis auf Weiteres","","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-5","von 


 bis","8. September 2020","11. Januar 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-6","von 


 bis","11. Januar 2021","8. März 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-7","von 


 bis","11. Januar 2021","8. März 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-8","von 


 bis","8. März 2021","12. Mai 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-10","von 


 bis","10. Mai 2021","21. Mai 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-11","von 


 bis ,  von 09:00 bis 15:00 Uhr","14. Juni 2021","25. Juni 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-12","am 


,  von 09:00 bis 15:00 Uhr","28. Oktober 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-13","am 


,  von 09:00 bis 14:00 Uhr","29. Oktober 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Deutzer Ring (Deutz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/deutzer-ring-deutz-14","von 


 bis ,  von 09:00 bis 15:00 Uhr","8. November 2021","10. November 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dillenburger Straße (Kalk)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/dillenburger-strasse-kalk-2","von 


 bis","15. Februar 2021","8. März 2021","Kalk"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Donatusstraße (Pesch)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/donatusstrasse-pesch-5","von 


 bis ,  von 09:00 bis 15:00 Uhr","19. Februar 2021","5. März 2021","Chorweiler"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dünnwalder Mauspfad (Dünnwald)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duennwalder-mauspfad-duennwald-1","von 


 bis ,  von 09:00 bis 15:00 Uhr","20. Juli 2021","21. Juli 2021","Mülheim"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dürener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duerener-strasse-lindenthal-5","von 


 bis ,  von 22:00 bis 05:00 Uhr","10. März 2021","9. April 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Dürener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duerener-strasse-lindenthal-6","von 


 bis ,  von 9:00 bis 15:00 Uhr","22. Februar 2021","8. März 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dürener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duerener-strasse-lindenthal-7","von 


 bis ,  von 22:00 bis 05:00 Uhr","25. Februar 2021","17. März 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dürener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duerener-strasse-lindenthal-8","von 


 bis","8. März 2021","31. Mai 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dürener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duerener-strasse-lindenthal-9","von 


 bis","7. März 2021","30. September 2023","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dürener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duerener-strasse-lindenthal-10","von 


 bis ,  von 09:00 bis 15:00 Uhr","26. April 2021","30. Juni 2021","Lindenthal"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Dürener Straße (Lindenthal)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/duerener-strasse-lindenthal-12","von 


 bis ,  von 09:00 bis 15:00 Uhr","13. September 2021","6. Oktober 2021","Lindenthal"
